Topic,Topic Type,Summary,Associated Tickets
User is seeing buildings with purple icons in their community dropdown they do not recognize,Issue Debugging,Check the users roles by going to https://app.meetelise.com/users and inputting the guest cards email,https://meetelise.zendesk.com/agent/tickets/58630
User is seeing buildings with purple icons in their community dropdown they do not recognize,Issue Debugging,Recognized that the purple icons were building groups so I checked retool (https://meetelise.retool.com/apps/7387dca2-a31b-11ed-8b39-abdedd68c311/apps-in-development/Building%20Group%20Creation) to see if there are building groups and what type for their organization,https://meetelise.zendesk.com/agent/tickets/58630
Purple icons in building dropdown,Product Context,Buildings with purple icons in the building dropdowns are building groups,
User is seeing buildings with purple icons in their community dropdown they do not recognize,Issue Solution,Determined the unknown buidling dropdown options were building groups for cross-selling and shared this information with the user,https://meetelise.zendesk.com/agent/tickets/58630
Prospect tasks missing from task queue,Product Context,Prospect tasks get dismissed from the task queue after 30 days with no reply from the agent,
Website widget/pixel installation,Product Context,All organizations have an org wide pixel code that attempts to match the buiding. The org wide code can be found here: https://app.meetelise.com/settings/pixel There is also building specific pixel codes that can be used when the org code is not functioning as intended. Building specific code can be found here: https://app.meetelise.com/settings/widgets,
Building specific pixel code,Issue Solution,Customer requested their building specific pixel code which I found at https://app.meetelise.com/settings/widgets and then filtered for the building name. The code is on the bottom of the page so I needed to scroll,https://meetelise.zendesk.com/agent/tickets/58719
Website widget/pixel,Product Context,"Customers may refer to the pixel java script as ""code"". If they ask for ""the website code"", this is likely what they are referring to",
Contact wants to resubscribe after unsubscribing,Issue Solution,"Advise the agent to advise the contact to text ""unstop"" to resubscribe to communication",https://meetelise.zendesk.com/agent/tickets/58703
"Agent replied in their CRM, Knock, but cannot see the reply in Elise CRM",Issue Debugging,"They shared a screenshot of their reply in their CRM, Knock, so I know they replied. They did not share the conversation link so I went to the prospects page (https://app.meetelise.com/contacts/prospect), filtered for their organization, and searched for the prospect by name. After finding the list I confirmed there was no agent reply.",https://meetelise.zendesk.com/agent/tickets/58611
"Agent replied in their CRM, Knock, but cannot see the reply in Elise CRM",Issue Solution,"We cannot see replies in external CRMs. To clear a task the agent would need to either take over & reply externally, dismiss the task & reply externally, or reply in EliseCRM. ",https://meetelise.zendesk.com/agent/tickets/58611
Agent take overs,Product Context,"Agent take overs are when they assign a guest card to themselves either for a limited amount of time or forever, stopping the AI from following up",
RentCafe CRM integration (a Yardi product),Product Context,"Elise integrates with Yardi Voyager and can work through Voyager to get data from Yardi's CRM called RentCafe. We have a pretty full integration however the calendar is a little limited. We can only pull open time slots and office hours, not touring hours",
Yardi PMS Integration,Product Context,"Elise integrates with Yardi 's PMS, Voyager. It has very little limitations on what data can be pulled from the PMS",
Knowledge used in replies,Issue Debugging,"User reported the information the AI said was wrong so I needed to investigate the knowledge used in the reply. I went to the state by going to the conversation and clicking ""View State"", I enabled ""predicated events"", and looked for ""Knowledge Prompt"" in the predicted events. There doesn't seem to be a ""Knowledge Prompt"" all the time, unclear why not.",
Knowledge used in replies,Issue Solution,User reported the information the AI said was wrong so I needed to investigate the knowledge used in the reply. Used that state to determine that there was conflicting knowledge between an agent and their PMS. The PMS knowledge was just very general that it was being mis-understood.,
Knowledge Management,Product Context,"Knowledge is the information used in conversations by the AI. The most common type is text but there are also media and specials. It is pulled in from various sources including the onboarding form, PMS system, and scraped property websites. When agents say something that is new to the knowledge base or conflicts with existing knowledge, the system will surface the new or updated knowledge for approval to users with knowledge approval permission. Text based knowledge is managed here: https://app.meetelise.com/knowledge",
Specials,Product Context,Specials are promotions property managers run to increase lease signed rates like 2 weeks free. They are managed as part of knowledge here: https://app.meetelise.com/knowledge?view=incentives,
Syndication,Product Context,Syndication is  the process of automatically listing an apartment after it is marked as available in PMS. EliseCRM does not offer syndiction to customers today but will eventually,
Entrada Integration,Product Context,Elise integrates with Entrada's CRM and PMS. There are very little limitiations to the integration so customers using Entrada are a good match for Elise,
Absorption Period,Vocabulary,"In multifamily rental properties, this metric measures the rate at which available units are rented (typically over 12 months), and is adjusted to reflect a property's turnover rates during the specified period.",
Absorption Rate,Vocabulary,"The rate that available units that are expected to rent. It is calculated as the total number of units rented divided by the total number of units listed (e.g., 42 units rented ÷ 60 units for rent = 70% absorption).",
EliseCRM,Vocabulary,MeetElise's product that maximizes automation and fills in the functionality gaps that allows a client to completely remove their CRM.,
